,note,pro,con,anonymous,tutorial,topic,month,date
94,5,,,,Galaxy 101,Introduction to Galaxy Analyses,2018-11,2018-11-26
95,5,"The explanation is very clear and concise, thanks!",,,NGS data logistics,Introduction to Galaxy Analyses,2018-11,2018-11-27
96,5,Easy to follow,Including some assignment or home work,,Galaxy 101,Introduction to Galaxy Analyses,2018-11,2018-11-28
97,5,,,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2018-11,2018-11-28
98,5,"Easy to follow, but the task is not trivial!",update some of the options and screenshots to be consistent with the latest version of Galaxy,,Galaxy 101,Introduction to Galaxy Analyses,2018-11,2018-11-28
99,5,,,,Galaxy 101,Introduction to Galaxy Analyses,2018-11,2018-11-28
100,5,,,,Galaxy 101,Introduction to Galaxy Analyses,2018-11,2018-11-28
101,4,The explanations and solutions to check our output,Explanations of the plots,,De novo transcriptome reconstruction with RNA-Seq,Transcriptomics,2018-12,2018-12-01
102,5,,,,16S Microbial Analysis with mothur (extended),Metagenomics,2018-12,2018-12-03
103,4,step-by-step configuration,colors to enhance instructions clarity ,,Reference-based RNA-Seq data analysis,Transcriptomics,2018-12,2018-12-03
104,1,,,,Visualization of RNA-Seq results with CummeRbund,Transcriptomics,2018-12,2018-12-04
105,5,,,,16S Microbial Analysis with mothur (extended),Metagenomics,2018-12,2018-12-04
106,5,,,,An Introduction to Genome Assembly,Assembly,2018-12,2018-12-04
107,4,Tutorial is absolutely awesome! Thaks a lot for the work you made! ,Maybe you could make the tutorial more detailed. Write all the commands exactly as they should be written in the terminal. I catch lots of failures and can't improve them by myself.(,,Peptide and Protein ID using SearchGUI and PeptideShaker,Proteomics,2018-12,2018-12-05
108,4,"Nice explanation, really easy!",what is the next step?,,Quality Control,Sequence analysis,2018-12,2018-12-10
109,5,,,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2018-12,2018-12-14
110,5,"Really detailed, could use it for my project for creating my project",maybe go deeper and show a template for a project,,Deploying a compute cluster in OpenStack via Terraform,Galaxy Server administration,2018-12,2018-12-19
111,5,,,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2018-12,2018-12-26
112,1,,"unfortunately in compare with others tutorial, this is very unclear and o'm not satisfied please improve this very important tutorial with clear and accurate dive.",,Exome sequencing data analysis for diagnosing a genetic disease,Variant Analysis,2018-12,2018-12-26
113,5,,,,Galaxy 101,Introduction to Galaxy Analyses,2018-12,2018-12-29
114,5,,,,Visualization of RNA-Seq results with Volcano Plot,Transcriptomics,2018-12,2018-12-31
115,5,Nothing :),I think it's already good and clear as it is,,Reference-based RNA-Seq data analysis,Transcriptomics,2019-01,2019-01-05
116,4,Step by step introduction and repetition of features,,,From peaks to genes,Introduction to Galaxy Analyses,2019-01,2019-01-08
117,3,,,,Reference-based RNA-Seq data analysis,Transcriptomics,2019-01,2019-01-11
118,5,,,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2019-01,2019-01-11
119,5,,,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2019-01,2019-01-12
120,5,No ambiguity and it showed some basics.  Liked the labelled images.,,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2019-01,2019-01-13
121,5,,"Galaxy at usegalaxy.org ends up showing ""the white screen of death"" extremely often (10s of times during following this tutorial).",,Galaxy 101,Introduction to Galaxy Analyses,2019-01,2019-01-14
122,1,,Actually show some use-cases (there is only one and i am unable to load ENCODE data),,IGV Introduction,Introduction to Galaxy Analyses,2019-01,2019-01-15
123,4,,Galaxy does not run the last step of the workflow (concatenate forward and reverse overlaps) - does not even appear in the history at all ,,Extracting Workflows from Histories,Using Galaxy and Managing your Data,2019-01,2019-01-16
124,4,,"Galaxy says it has ran the workflow, but nothing happens.",,Introduction to Genomics and Galaxy,Introduction to Galaxy Analyses,2019-01,2019-01-16
125,5,Easy to follow and use,,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2019-01,2019-01-16
126,5,Explanation of theoretical basics. Links to additional resources.,"Mark Duplicates step fails:  Fatal error: Exit code 1 () Picked up _JAVA_OPTIONS: -Djava.io.tmpdir=/galaxy-repl/main/jobdir/022/055/22055178/_job_tmp -Xmx7g  -Xms256m 11:37:37.876 INFO  NativeLibraryLoader - Loading libgkl_compression.so from jar:file:/cvmfs/main.galaxyproject.org/deps/_conda/pkgs/picard-2.18.2-py36_0/share/picard-2.18.2-0/picard.jar!/com/intel/gkl/native/libgkl_compression.so [Thu Jan 17 11:37:37 CST 2019] MarkDuplicates INPUT=[Filter_on_data_7__Filtered_BAM] OUTPUT=/galaxy-repl/main/files/029/341/dataset_29341054.dat METRICS_FILE=/galaxy-repl/main/files/029/341/dataset_29341053.dat REMOVE_DUPLICATES=true ASSUME_SORTED=true DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES OPTICAL_DUPLICATE_PIXEL_DISTANCE=100    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true ADD_PG_TAG_TO_READS=true PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false [Thu Jan 17 11:37:37 CST 2019] Executing as g2main@roundup55.tacc.utexas.edu on Linux 3.10.0-693.21.1.el7.x86_64 amd64; OpenJDK 64-Bit Server VM 1.8.0_152-release-1056-b12; Deflater: Intel; Inflater: Intel; Provider GCS is not available; Picard version: 2.18.2-SNAPSHOT INFO 2019-01-17 11:37:38 MarkDuplicates Start of doWork freeMemory: 248936480; totalMemory: 259588096; maxMemory: 7265714176 INFO 2019-01-17 11:37:38 MarkDuplicates Reading input file and constructing read end information. INFO 2019-01-17 11:37:38 MarkDuplicates Will retain up to 26325051 data points before spilling to disk. [Thu Jan 17 11:37:38 CST 2019] picard.sam.markduplicates.MarkDuplicates done. Elapsed time: 0.02 minutes. Runtime.totalMemory()=382373888 To get help, see http://broadinstitute.github.io/picard/index.html#GettingHelp Exception in thread ""main"" htsjdk.samtools.SAMFormatException: SAM validation error: ERROR: Record 262, Read name M01368:16:000000000-A3M99:1:2114:3862:13382, bin field of BAM record does not equal value computed based on alignment start and end, and length of sequence to which read is aligned  at htsjdk.samtools.SAMUtils.processValidationErrors(SAMUtils.java:454)  at htsjdk.samtools.BAMFileReader$BAMFileIterator.advance(BAMFileReader.java:812)  at htsjdk.samtools.BAMFileReader$BAMFileIterator.next(BAMFileReader.java:797)  at htsjdk.samtools.BAMFileReader$BAMFileIterator.next(BAMFileReader.java:765)  at htsjdk.samtools.SamReader$AssertingIterator.next(SamReader.java:576)  at htsjdk.samtools.SamReader$AssertingIterator.next(SamReader.java:548)  at picard.sam.markduplicates.MarkDuplicates.buildSortedReadEndLists(MarkDuplicates.java:495)  at picard.sam.markduplicates.MarkDuplicates.doWork(MarkDuplicates.java:232)  at picard.cmdline.CommandLineProgram.instanceMain(CommandLineProgram.java:282)  at picard.cmdline.PicardCommandLine.instanceMain(PicardCommandLine.java:98)  at picard.cmdline.PicardCommandLine.main(PicardCommandLine.java:108)",,NGS data logistics,Introduction to Galaxy Analyses,2019-01,2019-01-17
127,5,,,,De novo transcriptome reconstruction with RNA-Seq,Transcriptomics,2019-01,2019-01-19
128,5,,,,Deploying a compute cluster in OpenStack via Terraform,Galaxy Server administration,2019-01,2019-01-22
129,5,awesome and answered many of the questions in my head,nothing I can think of,,NGS data logistics,Introduction to Galaxy Analyses,2019-01,2019-01-22
130,5,,,,Quality Control,Sequence analysis,2019-01,2019-01-23
131,4,,,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2019-01,2019-01-23
132,5,,,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2019-01,2019-01-23
133,5,"Images with arrows, and short answer questions (made sure I was on the right path). The icons in the text were also a nice touch. ",I found the boxes around each of the big steps a little distracting. They are not necessary for the transition between the steps. The large headings are enough.,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2019-01,2019-01-23
134,2,,,,Quality Control,Sequence analysis,2019-01,2019-01-25
135,5,,,,Age prediction using machine learning,Statistics and machine learning,2019-01,2019-01-25
136,5,,,,Galaxy Tool Management with Ephemeris,Galaxy Server administration,2019-01,2019-01-29
137,5,,,,Galaxy Installation with Ansible,Galaxy Server administration,2019-01,2019-01-29
138,5,"Very good explanations, good demonstration of Galaxy potential for begginer ",,,Galaxy 101,Introduction to Galaxy Analyses,2019-01,2019-01-31
139,5,,,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2019-02,2019-02-05
140,5,,,,From peaks to genes,Introduction to Galaxy Analyses,2019-02,2019-02-06
141,5,,,,Quality Control,Sequence analysis,2019-02,2019-02-06
142,5,,,,Formation of the Super-Structures on the Inactive X,Epigenetics,2019-02,2019-02-07
143,5,,,,1: RNA-Seq reads to counts,Transcriptomics,2019-02,2019-02-07
144,2,Clear wording.,"As a Windows user, I was not able to install requirements successfully.",,Running the GTN website locally,Contributing to the Galaxy Training Material,2019-02,2019-02-08
145,2,,,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2019-02,2019-02-08
146,5,,,,Mapping,Sequence analysis,2019-02,2019-02-10
147,5,Clear and concise instructions,"Nothing really, ",,A short introduction to Galaxy,Introduction to Galaxy Analyses,2019-02,2019-02-12
148,4,Simple and easy to follow,,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2019-02,2019-02-13
149,5,the option to automatically extract all steps of my workflow instead of typing them all is sooooo increadibly helpful!!!,,,Creating a new tutorial,Contributing to the Galaxy Training Material,2019-02,2019-02-16
150,5,The explanation and description is easy to understand.,,,De novo transcriptome reconstruction with RNA-Seq,Transcriptomics,2019-02,2019-02-20
151,5,Very clear instruction and step-by-step explanation,some small exercises or quizes,,From peaks to genes,Introduction to Galaxy Analyses,2019-02,2019-02-25
152,5,,,,From peaks to genes,Introduction to Galaxy Analyses,2019-02,2019-02-25
153,5,Very simple to follow and learn on my own,,,Galaxy 101,Introduction to Galaxy Analyses,2019-02,2019-02-25
154,3,,Cannot find C2C12 file,,IGV Introduction,Introduction to Galaxy Analyses,2019-02,2019-02-25
155,5,,,,GO Enrichment Analysis,Transcriptomics,2019-02,2019-02-27
156,2,"The first steps of the tutorial are great, described in a simple and objective way. ","I was unable to continue from the ""Hands-on: Run I look for the genome"" stage. I looked for the BUSCO tool on the Galaxy platform but nothing was found. For this reason I could not complete the tutorial.  It would be good to evaluate the availability of this tool or change this step of the tutorial so that we can finish successfully, thank you!",,Genome annotation with Maker,Genome Annotation,2019-02,2019-02-27
157,4,Broke down the concepts well. Introduced ideas one  step at a time with good explanations that minimized jargon. And worked to make concepts tangible with hands on use of Galaxy.,,,Introduction to Genomics and Galaxy,Introduction to Galaxy Analyses,2019-02,2019-02-28
158,4,,,,Hi-C analysis of Drosophila melanogaster cells using HiCExplorer,Epigenetics,2019-02,2019-02-28
159,4,"Nothing bad, just I do not have sufficient background knowledge to comprehend everything. Nevertheless, very well-structured for a beginner to learn.",,,Hi-C analysis of Drosophila melanogaster cells using HiCExplorer,Epigenetics,2019-02,2019-02-28
160,5,,,,Genome Annotation,Genome Annotation,2019-03,2019-03-01
161,5,,,,Galaxy 101,Introduction to Galaxy Analyses,2019-03,2019-03-04
162,1,"most but if the files that need to be downloaded do not exist at UCSC, this tutorial is useless",go through the process and correct,,From peaks to genes,Introduction to Galaxy Analyses,2019-03,2019-03-05
163,4,,,,Formation of the Super-Structures on the Inactive X,Epigenetics,2019-03,2019-03-06
164,5,very straightforward tutorial,,,Basics of machine learning,Statistics and machine learning,2019-03,2019-03-08
165,5,"Step-by-step guidance to complete tutorial, comprehensive and easy to understand and follow along",,,16S Microbial Analysis with mothur (extended),Metagenomics,2019-03,2019-03-09
166,4,that it went right from the beginning (fastq) with explanations at each point of what I was looking at,"the galaxy biom1 file output does not open successfully in Phinch, preventing the final visualisation",,16S Microbial Analysis with mothur (extended),Metagenomics,2019-03,2019-03-10
167,5,,,,16S Microbial Analysis with mothur (extended),Metagenomics,2019-03,2019-03-11
168,5,Clear explanations of the tools; helpful workflow; I think the Hand On opportunities and prompt questions are really beneficial.,"Descriptions of which files to use were not always clear enough for me to determine which one to use. The justification of some selections for tool options could be expanded on, or additional links to papers noted where appropriate.",,16S Microbial Analysis with mothur (extended),Metagenomics,2019-03,2019-03-12
169,5,,,,Unicycler Assembly,Assembly,2019-03,2019-03-13
170,4,,,,Deploying a compute cluster in OpenStack via Terraform,Galaxy Server administration,2019-03,2019-03-14
171,1,,,,Identification of somatic and germline variants from tumor and normal sample pairs,Variant Analysis,2019-03,2019-03-14
172,3,,,,Differential abundance testing of small RNAs,Transcriptomics,2019-03,2019-03-15
173,3,,,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2019-03,2019-03-17
174,4,This was a helpful example for how machine learning can be applied to a real-world dataset.,"Add more info on how to access the SVM Classifier tool. This tool does not seem to be available in the US Galaxy instance, but it is available in the EU Galaxy instance.",,Basics of machine learning,Statistics and machine learning,2019-03,2019-03-18
175,4,very clear,"specificity of quality check regarding the type of data (16S, whole genome)",,Quality Control,Sequence analysis,2019-03,2019-03-20
176,5,the way it presented ,,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2019-03,2019-03-22
177,4,,,,Quality Control,Sequence analysis,2019-03,2019-03-22
178,4,,,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2019-03,2019-03-22
179,5,Easy to follow,,,De Bruijn Graph Assembly,Assembly,2019-03,2019-03-25
180,3,,,,Unicycler Assembly,Assembly,2019-03,2019-03-26
181,4,,,,Quality Control,Sequence analysis,2019-03,2019-03-26
182,4,Nicely explained and easy to follow even with own data.,"There is no explanation of the graph (colours, %, arrows) and meaning of columns in tabular output (Study#, pvalue, qvalue). Would be nice to shortly describe this with one example GO term.",,GO Enrichment Analysis,Transcriptomics,2019-03,2019-03-28
183,5,,,,Galaxy 101,Introduction to Galaxy Analyses,2019-03,2019-03-31
184,4,,,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2019-04,2019-04-03
185,4,,,,Unicycler Assembly,Assembly,2019-04,2019-04-04
186,5,"It is simple, clear and has materials for training.",,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2019-04,2019-04-06
187,5,,,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2019-04,2019-04-08
188,1,good description of what annotation is,"did not tell me how to do annotation using tools present here, would like a step by step instruction on how to do an annotation if I have a genome sequence",,Genome Annotation,Genome Annotation,2019-04,2019-04-08
